Currency,Date,Open,High,Low,Close,Volume,Market Cap,Average,Market_Share,Order
tezos,2019-12-04,1.29,1.32,1.25,1.25,46048752.0,824588509.0,1.2775,1.806066972116795,1
cardano,2019-12-04,0.037906,0.038533,0.03655,0.037405,51692274.0,969802335.0,0.0375985,2.1241236660566267,2
stellar,2019-12-04,0.055917,0.056422,0.054416,0.055419,207789246.0,1111416307.0,0.055543499999999996,2.434295727427752,3
bitcoin-sv,2019-12-04,96.0,100.91,94.51,95.44,492295285.0,1724375560.0,96.715,3.7768386443054385,4
binance-coin,2019-12-04,15.35,15.69,15.01,15.28,237605471.0,2376597490.0,15.3325,5.205377210398011,5
eos,2019-12-04,2.7,2.74,2.6,2.65,1991656646.0,2497719668.0,2.6725000000000003,5.470666821990999,6
litecoin,2019-12-04,45.4,46.54,44.58,45.19,2951880019.0,2882011362.0,45.427499999999995,6.312367292731144,7
bitcoin-cash,2019-12-04,212.68,216.6,205.89,209.29,1441054845.0,3798514529.0,211.11499999999998,8.319751681056573,8
tether,2019-12-04,1.0,1.02,0.981153,1.01,24761899935.0,4140656482.0,1.00278825,9.069133068675253,9
xrp,2019-12-04,0.219824,0.22177,0.212603,0.216348,1427312577.0,9364745688.0,0.21763624999999998,20.51127041520533,10
ethereum,2019-12-04,147.92,150.68,145.0,146.75,7865937094.0,15966157442.0,147.5875,34.970108500036076,11
